Primary Year,"Close Price, Average"
2013,"$656,698"
2014,"$715,496"
2015,"$796,186"
2016,"$942,357"
2017,"$1,073,785"
2018,"$944,653"
2019,"$948,485"
2020,"$1,098,155"
2021,"$1,299,913"
2022,"$1,403,603"
2023,"$1,324,157"
