Primary Year,"Close Price, Median"
2013,"$600,000"
2014,"$651,000"
2015,"$720,000"
2016,"$852,000"
2017,"$952,250"
2018,"$865,000"
2019,"$880,000"
2020,"$1,000,000"
2021,"$1,200,000"
2022,"$1,300,000"
2023,"$1,250,000"
