City,Year,Population,Household Income ($),Average Rent ($),Median Rent ($),Estimated House Value ($),Unemployment Rate (%),Property Tax Rate (%),Rented Houses,Owned Houses,New Built
Oshawa,2016,159458.0,70211.0,1070.0,1015.0,1015.0,9.8,1.561085,19720.0,42875.0,834.0
Oshawa, 2021,175383.0,86000.0,1400.0,1300.0,1300.0,15.2,1.304741,23880.0,42750.0,1416.0
