Primary Year,"Sale Price, Average"
2016,"$663,675"
2017,"$763,549"
2018,"$735,275"
2019,"$755,017"
2020,"$877,311"
2021,"$1,081,961"
2022,"$1,198,903"
2023,"$1,096,871"
