Primary Year,"Close Price, Median"
2013,"$2,300"
2014,"$2,300"
2015,"$2,300"
2016,"$2,350"
2017,"$2,400"
2018,"$2,500"
2019,"$2,600"
2020,"$2,500"
2021,"$2,550"
2022,"$2,700"
2023,"$2,700"
