Primary Year,"Close Price, Average"
2013,"$2,492"
2014,"$2,544"
2015,"$2,505"
2016,"$2,525"
2017,"$2,521"
2018,"$2,628"
2019,"$2,735"
2020,"$2,663"
2021,"$2,841"
2022,"$2,956"
2023,"$2,990"
