City,Year,Population,Median Household Income,Unemployment Rate (%),Property Tax Rate,Estimated House Value ($),Average Sale Price,Median Sale Price,Average Rental Price,Median Rental Price,New Builds,Under Construction,Owned Houses,Rented Houses
Oakville,2016,193832,113666,6.9,0.83%,883853,"$1,063,117","$920,000","$3,154","$2,588","1,791","2,437",54130,12135
Oakville, 2021,213759,128000,11.7,0.72%,1388000,"$1,579,928","$1,387,500","$3,363","$3,000","1,824","3,193",57025,16530
